Tumor_Sample_Barcode	cluster
NKT_GI815	C0
NKT_14	C0
NKT_35	C0
NKT_47	C0
NKT_54	C0
NKT_57	C0
NKT_65	C0
NKT_68	C0
NKT_69	C0
NKT_72	C0
NKT_L132	C0
NKTL6	C0
NKT_WES_06	C1
NKT_WES_10	C1
NKT_WES_21	C1
NKT_WES_29	C1
NKT_WES_31	C1
NKT_GI423	C1
NKT_26	C1
NKT_37	C1
NKT_48	C1
NKT_60	C1
NKT_L112	C1
NKT_L118	C1
NKT_L128	C1
NKT_L129	C1
NKT_L153	C1
NKT_L58	C1
NKT_L73	C1
NKT_L76	C1
NKT_L84	C1
NKT_L87	C1
NKT_L97	C1
NKT_L98	C1
NKTL12	C1
NKTL16	C1
NKTL17	C1
NKTL23	C1
NKTL8	C1
NKT_L133	C1
NKT_42	C2
NKT_WES_04	C2
NKT_WES_05	C2
NKT_WES_07	C2
NKT_WES_11	C2
NKT_WES_16	C2
NKT_GI426	C2
NKT_GI432	C2
NKT_27	C2
NKT_28	C2
NKT_49	C2
NKT_64	C2
NKT_67	C2
NKT_70	C2
NKT_L116	C2
NKT_L126	C2
NKT_L127	C2
NKT_L151	C2
NKT_L80	C2
NKTL15	C2
NKTL19	C2
NKTL20	C2
NKTL21	C2
NKTL24	C2
NKTL29	C2
NKTL7	C2
NKTL9	C2
NKT_L111	C2
NKT_WES_08	C2
NKT_WES_13	C2
NKT_WES_23	C2
NKTL44	C2
NKT_61	C3
NKT_L96	C3
NKT_WES_09	C3
NKT_WES_22	C3
NKT_WES_24	C3
NKT_WES_28	C3
NKT_GI427	C3
NKT_GI431	C3
NKT_GI434	C3
NKT_GI786	C3
NKT_29	C3
NKT_31	C3
NKT_38	C3
NKT_40	C3
NKT_44	C3
NKT_45	C3
NKT_46	C3
NKT_51	C3
NKT_53	C3
NKT_59	C3
NKT_63	C3
NKT_66	C3
NKT_L100	C3
NKT_L108	C3
NKT_L109	C3
NKT_L110	C3
NKT_L115	C3
NKT_L117	C3
NKT_L119	C3
NKT_L130	C3
NKT_L135	C3
NKT_L136	C3
NKT_L146	C3
NKT_L147	C3
NKT_L41	C3
NKT_L43	C3
NKT_L75	C3
NKT_L77	C3
NKT_L78	C3
NKT_L79	C3
NKT_L82	C3
NKT_L83	C3
NKT_L86	C3
NKT_L88	C3
NKT_L99	C3
NKTL11	C3
NKTL13	C3
NKTL14	C3
NKTL18	C3
NKTL28	C3
NKTL46	C3
NKTL5	C3
NKT_WES_03	C4
NKT_L137	C4
NKTL10	C4
NKT_WES_20	C4
NKT_WES_01	C4
NKT_WES_02	C4
NKT_WES_12	C4
NKT_WES_14	C4
NKT_WES_15	C4
NKT_WES_17	C4
NKT_WES_19	C4
NKT_WES_25	C4
NKT_WES_26	C4
NKT_WES_27	C4
NKT_WES_30	C4
NKT_WES_32	C4
NKT_GI421	C4
NKT_GI430	C4
NKT_GI816	C4
NKT_33	C4
NKT_39	C4
NKT_55	C4
NKT_L113	C4
NKT_L114	C4
NKT_L143	C4
NKT_L94	C4
NKT_L95	C4
NKTL2	C4
NKTL22	C4
NKTL25	C4
NKTL26	C4
NKTL27	C4
NKTL3	C4
NKTL30	C4
NKTL31	C4
NKTL4	C4
NKTL43	C4
NKTL45	C4
NKTL47	C4
